Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
215; 8.260845; 0.000250; 0.016195; 5.162168; 2.710195; 0.000916; 0.371067; 12.105300; 0.000053
216; 8.235449; 0.000215; 0.016141; 5.254145; 2.702043; 0.000852; 0.262001; 12.142628; 0.000052
217; 8.352023; 0.000227; 0.016280; 5.250827; 2.685947; 0.000812; 0.397871; 11.973146; 0.000059
218; 8.440348; 0.000220; 0.016567; 5.225140; 2.737981; 0.001036; 0.459345; 11.847853; 0.000058
219; 8.413966; 0.000226; 0.016424; 5.246084; 2.701469; 0.001025; 0.448688; 11.885002; 0.000050
220; 8.446397; 0.000225; 0.015991; 5.273719; 2.689385; 0.000894; 0.466125; 11.839368; 0.000058
221; 8.535298; 0.000221; 0.015432; 5.434641; 2.627620; 0.000902; 0.456416; 11.716052; 0.000064
222; 8.456251; 0.000250; 0.016116; 5.423690; 2.712618; 0.000967; 0.302552; 11.825571; 0.000058
223; 8.533429; 0.000222; 0.015527; 5.414853; 2.642837; 0.000895; 0.459037; 11.718618; 0.000058
224; 8.565253; 0.000230; 0.015234; 5.435532; 2.650824; 0.000852; 0.462530; 11.675078; 0.000051
225; 8.630260; 0.000214; 0.015710; 5.376244; 2.785994; 0.000931; 0.451104; 11.587136; 0.000062
226; 8.632259; 0.000219; 0.015779; 5.505999; 2.680207; 0.000899; 0.429101; 11.584454; 0.000055
227; 8.671128; 0.000215; 0.016096; 5.446718; 2.737381; 0.000856; 0.469803; 11.532525; 0.000058
228; 8.825403; 0.000233; 0.015716; 5.916316; 2.594289; 0.000923; 0.297868; 11.330927; 0.000058
229; 8.727305; 0.000229; 0.016255; 5.520818; 2.732851; 0.000859; 0.456235; 11.458291; 0.000058
230; 8.771382; 0.000272; 0.016197; 5.558838; 2.719911; 0.000867; 0.475237; 11.400711; 0.000060
231; 8.843540; 0.000209; 0.015872; 5.722921; 2.628378; 0.000877; 0.475234; 11.307688; 0.000050
232; 8.833306; 0.000254; 0.015877; 5.684914; 2.669613; 0.000850; 0.461740; 11.320790; 0.000058
233; 8.875273; 0.000254; 0.016783; 5.698418; 2.689189; 0.000808; 0.469760; 11.267259; 0.000059
234; 8.887547; 0.000225; 0.015890; 5.754074; 2.651880; 0.000869; 0.464558; 11.251699; 0.000051
235; 8.952406; 0.000227; 0.016100; 5.708266; 2.756019; 0.000901; 0.470838; 11.170182; 0.000053
236; 8.925284; 0.000242; 0.016266; 5.784707; 2.660528; 0.000858; 0.462621; 11.204126; 0.000061
237; 8.970944; 0.000236; 0.016170; 5.759791; 2.724875; 0.000885; 0.468937; 11.147099; 0.000049
238; 9.053219; 0.000266; 0.016313; 5.893292; 2.667028; 0.000917; 0.475352; 11.045795; 0.000052
239; 9.036434; 0.000269; 0.016044; 5.848327; 2.696631; 0.000881; 0.474234; 11.066312; 0.000048
240; 9.073515; 0.000227; 0.017630; 5.842848; 2.740546; 0.000980; 0.471217; 11.021087; 0.000068
241; 9.130372; 0.000225; 0.015433; 5.961854; 2.686931; 0.000863; 0.465010; 10.952456; 0.000057
242; 9.105477; 0.000210; 0.015921; 5.885045; 2.733328; 0.000861; 0.470061; 10.982401; 0.000050
243; 9.151242; 0.000247; 0.016098; 5.907034; 2.763606; 0.000854; 0.463344; 10.927479; 0.000059
244; 9.200756; 0.000230; 0.016043; 6.061689; 2.648102; 0.000818; 0.473825; 10.868672; 0.000050
245; 9.223306; 0.000281; 0.015982; 6.053265; 2.678421; 0.000944; 0.474359; 10.842099; 0.000055
246; 9.245487; 0.000230; 0.016465; 5.993947; 2.754155; 0.000867; 0.479774; 10.816088; 0.000049
247; 9.237839; 0.000227; 0.016770; 6.194044; 2.718148; 0.000812; 0.307785; 10.825043; 0.000054
248; 9.304901; 0.000228; 0.018019; 6.149743; 2.817402; 0.000870; 0.318577; 10.747025; 0.000062
249; 9.464965; 0.000267; 0.016781; 6.340733; 2.640187; 0.000892; 0.465985; 10.565280; 0.000119
250; 9.386941; 0.000241; 0.015712; 6.172130; 2.735690; 0.000863; 0.462247; 10.653098; 0.000059
251; 9.432744; 0.000236; 0.017219; 6.192485; 2.759153; 0.000892; 0.462704; 10.601369; 0.000056
252; 9.462273; 0.000227; 0.016705; 6.158904; 2.833412; 0.000867; 0.452095; 10.568286; 0.000062
253; 9.444962; 0.000219; 0.016365; 6.184641; 2.780262; 0.000857; 0.462525; 10.587655; 0.000092
254; 9.503331; 0.000244; 0.016123; 6.277981; 2.737779; 0.000861; 0.470296; 10.522627; 0.000046
255; 9.574994; 0.000250; 0.017046; 6.349967; 2.738612; 0.000910; 0.468150; 10.443871; 0.000059
256; 9.545794; 0.000230; 0.016580; 6.329240; 2.735391; 0.000850; 0.463447; 10.475818; 0.000056
257; 9.584526; 0.000237; 0.017532; 6.312293; 2.779893; 0.000910; 0.473601; 10.433484; 0.000060
258; 9.709858; 0.000313; 0.017225; 6.402342; 2.812189; 0.000932; 0.476800; 10.298812; 0.000057
259; 9.641330; 0.000250; 0.016087; 6.402828; 2.746355; 0.000836; 0.474916; 10.372013; 0.000057
260; 9.669037; 0.000222; 0.017013; 6.403943; 2.779875; 0.000872; 0.467056; 10.342292; 0.000055
261; 9.736982; 0.000230; 0.016203; 6.521696; 2.723282; 0.000897; 0.474621; 10.270123; 0.000053
262; 9.726741; 0.000258; 0.016383; 6.401334; 2.851418; 0.000859; 0.456431; 10.280936; 0.000057
263; 9.780539; 0.000225; 0.017198; 6.487814; 2.818287; 0.000866; 0.456091; 10.224385; 0.000058
264; 9.843333; 0.000221; 0.016471; 6.628086; 2.730557; 0.000926; 0.467020; 10.159161; 0.000052
265; 9.839397; 0.000280; 0.017111; 6.579027; 2.801582; 0.000873; 0.440461; 10.163225; 0.000063
266; 9.858511; 0.000232; 0.017353; 6.581732; 2.800847; 0.000853; 0.457442; 10.143519; 0.000052
267; 9.977286; 0.000213; 0.016174; 6.838134; 2.648491; 0.000987; 0.473187; 10.022765; 0.000102
268; 9.887868; 0.000240; 0.016901; 6.783779; 2.774649; 0.000927; 0.311324; 10.113403; 0.000049
269; 9.944092; 0.000220; 0.016442; 6.712484; 2.753498; 0.000894; 0.460505; 10.056222; 0.000050
270; 10.038808; 0.000230; 0.016228; 6.828375; 2.717192; 0.000944; 0.475786; 9.961342; 0.000054
271; 10.039438; 0.000229; 0.017712; 6.812058; 2.772054; 0.000902; 0.436423; 9.960717; 0.000060
272; 10.039805; 0.000220; 0.016805; 6.714511; 2.837694; 0.000917; 0.469605; 9.960353; 0.000054
273; 10.157030; 0.000254; 0.016035; 6.896106; 2.798677; 0.000901; 0.445000; 9.845398; 0.000057
274; 10.062507; 0.000241; 0.017297; 6.833432; 2.901269; 0.000884; 0.309321; 9.937881; 0.000063
275; 10.127249; 0.000205; 0.016007; 6.895808; 2.776161; 0.000866; 0.438145; 9.874350; 0.000056
276; 10.223179; 0.000256; 0.017671; 6.957034; 2.795565; 0.000862; 0.451729; 9.781693; 0.000061
277; 10.193996; 0.000216; 0.017220; 6.910276; 2.828430; 0.000810; 0.436994; 9.809696; 0.000051
278; 10.232955; 0.000241; 0.017115; 6.992629; 2.782544; 0.000891; 0.439446; 9.772348; 0.000089
279; 10.319821; 0.000269; 0.017547; 6.998353; 2.875125; 0.001000; 0.427472; 9.690090; 0.000057
280; 10.388255; 0.000244; 0.017112; 7.123428; 2.821082; 0.000918; 0.425420; 9.626256; 0.000051
281; 10.267478; 0.000254; 0.016220; 7.154674; 2.792695; 0.000851; 0.302730; 9.739490; 0.000056
282; 10.403871; 0.000261; 0.016717; 7.120954; 2.820921; 0.000888; 0.444074; 9.611807; 0.000056
283; 10.382094; 0.000306; 0.017173; 7.114398; 2.806376; 0.000850; 0.442940; 9.631968; 0.000051
284; 10.420446; 0.000221; 0.016848; 7.146699; 2.800242; 0.000864; 0.455514; 9.596518; 0.000058
285; 10.480831; 0.000218; 0.016379; 7.166672; 2.853110; 0.000820; 0.443573; 9.541228; 0.000060
286; 10.586285; 0.000207; 0.016750; 7.355050; 2.767885; 0.000911; 0.445423; 9.446184; 0.000060
287; 10.582490; 0.000232; 0.016736; 7.289813; 2.827640; 0.000904; 0.447101; 9.449572; 0.000064
